Language_name	Example_number	Example_type	Primary_text	Original_orthography	Analyzed_text	Gloss	Translation
Mandarin Chinese	135	Constructed by native speaker linguist	Nǐ bǎ nàgè xiǎohái xiàhuài le.	你把那个小孩吓坏了。	ni ba na-ge xiaohai xiahuai-le	2SG BA that-CL kid frighten.broken-PERF	You have frightened that kid so much. / That kid was frightened so much by you.
Mandarin Chinese	136	Constructed by native speaker linguist	Nàgè xiǎohái bèi nǐ xiàhuài le.	那个小孩被你吓坏了。	na-ge xiaohai bei ni xiahuai-le	that-CL kid BEI 2SG frighten.broken-PERF	That kid was frightened so much by you.
Mandarin Chinese	137	Constructed by native speaker linguist	Xiǎo nǚháir xiàhu qǐlái róngyì de hěn.	小女孩儿吓唬起来容易得很。	xiao nüháir xiahu-qilai rongyi de hen	little girl frighten-APPL easy APPL very	It is very easy to frighten a little girl.
Mandarin Chinese	138	Constructed by native speaker linguist	Wǒ bǎ qiānbǐ gěile māma.	我把铅笔给了妈妈。	wo ba qianbi gei-le mama	1SG BA pencil give-PERF Mom	I gave the pencil to Mom.
Mandarin Chinese	139	Constructed by native speaker linguist	Qiānbǐ bèi wǒ gěile māma.	铅笔被我给了妈妈。	qianbi bei wo gei-le mama	pencil BEI 1SG give-PERF Mom	The pencil was given to Mom by me.
Mandarin Chinese	140	Constructed by native speaker linguist	Jìujiu bǎ huángdòu mò(hǎo)le.	舅舅把黄豆磨（好）了。	jiujiu ba huangdou mo-hao-le	uncle BA soybean grind-ready-PERF	My uncle has ground the soybean.
Mandarin Chinese	141	Constructed by native speaker linguist	Huángdòu bèi Jìujiu mò(hǎo)le.	黄豆被舅舅磨（好）了。	huangdou bei jiujiu mo-hao-le	soybean PASS uncle grind-ready-PERF	The soybean has been ground (ready) by my uncle.
Mandarin Chinese	142	Constructed by native speaker linguist	Zhèzhǒng màizi mòqǐlái róngyì.	这种麦子磨起来容易。	zhe-zhong maizi mo-qilai rongyi	this-CL wheat grind-APPL easy	This kind of wheat is easy to grind.
Mandarin Chinese	143	Constructed by native speaker linguist	Nǐde huà bèi lǎoshī tīngjiànle.	你的话被老师听见了。	nide hua bei laoshi tingjian-le	your words BEI teacher hear-PERF	Your words were beard by the teacher. / What you said was heard by the teacher.
Mandarin Chinese	144	Constructed by native speaker linguist	Wǒ rènwéi bāngzhù biéren hé bèi biéren bāngzhù dōu shì yīzhǒng xìngfú.	我认为帮助别人和被别人帮助都是一种幸福。	wo renwei bangzhu bieren he bei bieren bangzhu dou shi yi-zhong xingfu	1SG think help others and BEI others help all BE one-CL happiness	I think both helping others and being helped by others are a kind of happiness.
Mandarin Chinese	145	Constructed by native speaker linguist	Zhènshàng hái bāngzhùle wǒmen hěnduō dàmǐ.	镇上还帮助了我们很多大米。	zhenshang hai bangzhu-le women henduo dami	town.government additionally help-PERF 1PL much rice	The local township government also helped us by giving us much rice.
Mandarin Chinese	146	Constructed by native speaker linguist	Nǐ bǎ qián cáng hǎo.	你把钱藏好。	ni ba qian cang-hao	2SG BA money hide-well	Hide the money in a safe place.
Mandarin Chinese	147	Constructed by native speaker linguist	Qíu bèi māma cángqǐlái le.	球被妈妈藏起来了。	qiu bei mama cang-qilai-le	ball BEI Mom hide-APPL-PERF	The ball has been hidden up by Mom.
Mandarin Chinese	148	Constructed by native speaker linguist	Qíu cáng guìzi lǐ.	球藏柜子里。	qiu cang guizi-li	ball hide cupboard-inside	The ball is hidden in the cupboard.
Mandarin Chinese	149	Constructed by native speaker linguist	Guìzilǐ cáng qíu.	柜子里球藏。	guizi-li cang qiu	cupboard-inside hide ball	The ball is hidden in the cupboard. / The cupboard is for hiding balls.
Mandarin Chinese	150	Constructed by native speaker linguist	Gēge bǎ dìdi dǎ le.	哥哥把弟弟打了。	gege ba didi da-le	elder.brother BA younger.brother hit-PERF	The elder brother hit the younger brother.
Mandarin Chinese	151	Constructed by native speaker linguist	Gēge bèi dìdi dǎ le.	哥哥被弟弟打了。	gege bei didi da-le	elder.brother BEI younger.brother hit-PERF	The elder brother was hit by the younger brother.
Mandarin Chinese	152	Constructed by native speaker linguist	Zhèyàng de gùnzi dǎqǐlái bú shùnshǒu.	这样的棍子打起来不顺手。	zheyang de gunzi da-qilai bu shunshou	this.kind DE stick hit-APPL not comfortable	It is not comfortable when hitting with this kind of stick. / It is not comfortable when one hits with this kind of stick.
Mandarin Chinese	153	Constructed by native speaker linguist	Wǔ Sōng bǎ lǎohǔ shā le.	武松把老虎杀了。	Wu Song ba laohu sha-le	Wu Song BA tiger kill-PERF	Wu Song killed the tiger.
Mandarin Chinese	154	Constructed by native speaker linguist	Lǎohǔ bèi Wǔ Sōng shāle.	老虎被武松杀了。	Laohu bei Wu Song sha-le	tiger BEI Wu Song kill-PERF	The tiger was killed by Wu Song.
Mandarin Chinese	155	Constructed by native speaker linguist	Nàjiàn shìqing zuìhòu bèi lǎoshī zhīdào le.	那件事情最后被老师知道了。	na-jian shiqing zuihou bei laoshi zhidao-le	that-CL matter finally BEI teacher know-PERF	The teacher finally knew it.
Mandarin Chinese	156	Constructed by native speaker linguist	Bèi rén xǐhuān shì yījiàn xìngfú de shìqing.	被人喜欢是一件幸福的事情。	bei ren xihuan shi yi-jian xingfu de shiqing	BEI others like be one-CL happy DE matter	For one to be liked by others is something happy. / It is something happy for one to be liked by others.
Mandarin Chinese	157	Constructed by native speaker linguist	Sēnlínlǐ zhù yīgè lǎo nǎinai.	森林里住一个老奶奶。	senlin-li zhu yi-ge lao nainai	forest-inside live one-CL old granny	In the forest lives an old granny.
Mandarin Chinese	158	Constructed by native speaker linguist	Yīgè lǎo nǎinai zhù sēnlínlǐ.	一个老奶奶住森林里。	yi-ge lao nainai zhu senlin-li	one-CL old granny live forest-inside	An old granny lives in the forest.
Mandarin Chinese	159	Constructed by native speaker linguist	Bǎ gāncǎo zhuāng shàng chē.	把干草装上车。	ba gancao zhuang shang che	BA hay load onto truck	Load the hay onto the truck.
Mandarin Chinese	160	Constructed by native speaker linguist	Chēzi bèi zhuāngshàng le gāncǎo.	车子被装满了干草。	chezi bei zhuang-shang-le gancao	truck BEI load-onto-PERF hay	The truck was loaded with hay.
Mandarin Chinese	161	Constructed by native speaker linguist	Gāncǎo bèi zhuāngshàng le chēzi.	干草被装上了车子。	gancao bei zhuang-shang-le chezi	hay BEI load-onto-PERF truck	The hay was loaded onto the truck.
Mandarin Chinese	162	Constructed by native speaker linguist	Chēshàng zhuāng gāncǎo.	车上装干草。	che-shang zhuang gancao	truck-top load hay	The truck is loaded with hay. / The truck is for loading hay.
Mandarin Chinese	163	Constructed by native speaker linguist	Gāncǎo zhuāng chēshàng.	干草装车上。	gancao zhuang che-shang	hay load truck-top	The hay is to be loaded onto the truck. / The hay is loaded on the truck.
Mandarin Chinese	164	Constructed by native speaker linguist	Zhèzhǒng huòwu zhuāngqǐlái hěn máfan.	这种货物装起来很麻烦。	zhe-zhong huowu zhuang-qilai hen mafan	this-kind goods load-APPL very troublesome	It is very uneasy to load this kind of goods.
Mandarin Chinese	165	Constructed by native speaker linguist	Zuótiān wǒliǎ guàng gōngyuán de shíhou bèi tā jìumā pèngjiàn le.	昨天我俩逛公园的时候被她舅妈碰见了。	zuotian wolia guang-gongyuan de shihou bei ta jiuma pengjian-le	yesterday we.two walking-park DE time BEI 3SG aunt meet-PERF	Her aunt met us when we two were having a walk in the park yesterday.
Mandarin Chinese	166	Constructed by native speaker linguist	Huángguā pí yǐjīng bèi tā xiāo le.	黄瓜皮已经被她削了。	huanggua-pi yijing bei ta xiao-le	cucumber-skin already BEI 3SG peel-PERF	The cucumber has been peeled by him.
Mandarin Chinese	167	Constructed by native speaker linguist	Zhèbǎ páozi xiāo qǐlái hěn shùnshǒu.	这把刨子削起来很顺手。	zhe-ba paozi xiao-qilai hen shunshou	this-CL peeler peel-APPL very smooth	This peelers peels easily.
Mandarin Chinese	168	Constructed by native speaker linguist	Zhèzhǒng huángguā xiāo qǐlái hěn bùróngyì.	这种黄瓜削起来很不容易。	zhe-zhong huanggua xiao-qilai hen bu rongyi	this-kind cucumber peel-APPL very not easy	It is very hard to peel this kind of cucumber.
Mandarin Chinese	169	Constructed by native speaker linguist	Tàidíxióng bèi dìdi wán huài le.	泰迪熊被弟弟玩坏了。	taidixiong bei didi wan huai-le	teddy.bear BEI younger.brother play broken-PERF	The teddy bear was made broken by my younger brother who played with it.
Mandarin Chinese	170	Constructed by native speaker linguist	Zhèzhǒng wánjù wán qǐlái hěn fèijìn.	这种的玩具玩起来很费劲。	zhe-zhong wanju wan-qilai hen feijin	this-kind toy play-APPL very effort.demanding	It is a big trouble playing with this kind of toy.
Mandarin Chinese	171	Constructed by native speaker linguist	Wǒ bǎ shuǐ dào jìn wǎn lǐ.	我把水倒进碗里。	wo ba shui dao-jin wan-li	1SG BA water pour-into bowl-inside	I poured water into the bowl.
Mandarin Chinese	172	Constructed by native speaker linguist	Shuǐ bèi wǒ dào jìn wǎn lǐ le.	水被我倒进碗里了。	shui bei wo dao-jin wan-li-le	water BEI 1SG pour-into bowl-inside-PERF	The water has been poured into the bowl by me.
Mandarin Chinese	173	Constructed by native speaker linguist	Yòng zhèzhǒng guànzi dào shuǐ, dào qǐlái hěn máfan.	用这种罐子倒水，倒起来很麻烦。	yong zhe-zhong guanzi dao shui dao-qilai hen mafan	use this-kind jar pour water pour-APPL very troublesome	It is a big trouble pouring water from this kind of jar. / It is a big trouble pouring water into this kind of jar.
Mandarin Chinese	174	Constructed by native speaker linguist	Zhuōzi bèi bàba tuīdàole yībiān.	桌子被爸爸推到了一边。	zhuozi bei baba tui-dao-le yibian	table BEI Dad push-to-PERF other.side	The table was pushed aside by Dad.
Mandarin Chinese	175	Constructed by native speaker linguist	Dà xiāngzi tuīzhe hěn chén.	大箱子推着很沉。	da xiangzi tui-zhe hen chen	big case push-APPL very heavy	The big case is heavy to push.
Mandarin Chinese	176	Constructed by native speaker linguist	Shū bèi fàng zài zhuō shàng.	书被放在桌上。	shu bei fang-zai zhuo-shang	book BEI put-on desk-top	The book was put on the desk.
Mandarin Chinese	177	Constructed by native speaker linguist	Zhuōshàng fàng(zhe) shū.	桌上放（着）书。	zhuo-shang fang(-zhe) shu	desk-top put(-DUR) book	The book is put on the desk.
Mandarin Chinese	178	Constructed by native speaker linguist	Zhèzhǒng huāpíng hǎokàn, dànshì fàngqǐlái hěn máfan.	这种花瓶好看，但是放起来很麻烦。	zhe-zhong huaping haokan danshi fang-qilai hen mafan	this-kind vase nice.looking but put-APPL very troublesome	This kind of vase is nicelooking, but it is very difficul to put it (in a safe and steady place)."
Mandarin Chinese	179	Constructed by native speaker linguist	Xiàngliàn zuìhòu háishì bèi fángdōng dédào le.	项链最后还是被房东得到了。	xianglian zuihou haishi bei fangdong dedao-le	necklace finally still BEI landlord get-PERF	The necklace finally was landed by the landlord. / The landlord got the necklace finally.
Mandarin Chinese	180	Constructed by native speaker linguist	Dìdi zài gǔn qíu.	弟弟在滚球。	didi zai gun qiu	younger.brother PRES roll ball	My younger brother is rolling the ball.
Mandarin Chinese	181	Constructed by native speaker linguist	Qíu zài gǔn.	球在滚。	qiu zai gun	ball PRES roll	The ball is rolling.
Mandarin Chinese	182	Constructed by native speaker linguist	Zhègè dà yóutǒng gǔn qǐlái hěn fèilì.	这个大油桶滚起来很费力。	zhe-ge da youtong gun-qilai hen feili	this-CL big oil.tank roll-APPL very effort.demanding	This big oil tank is very hard to roll.
Mandarin Chinese	183	Constructed by native speaker linguist	Hànyǔ de ràokǒulìng shuō qǐlái zuì máfan.	汉语的绕口令说起来最麻烦。	hanyu de raokouling shuo-qilai zui mafan	chinese DE tongue.twister say-APPL most troublesome	Chinese tongue twisters are most difficult to say.
Mandarin Chinese	184	Constructed by native speaker linguist	Yīgè háizi, zài mángmángrénhǎi dāngzhōng sōuxún qǐlái shì hěn kùnnán de.	一个孩子，在茫茫人海当中搜寻起来是很困难的。	yi-ge haizi, zai mangmangrenhai dangzhong souxun-qilai shi hen kunnan de	one-CL kid, in huge.crowd within search-APPL be very difficult DE	It is very difficult to search for such a kid from within such a huge crowd.
Mandarin Chinese	185	Constructed by native speaker linguist	Jǐngchá zài dàlù shàng sōuxún xiányífàn.	警察在大路上搜寻嫌疑犯。	jingcha zai da lu shang souxun xianyifan	police PRES big road top search.for suspect	The police are searching for the suspect on the big road.
Mandarin Chinese	186	Constructed by native speaker linguist	Wǒ yǐjīng bǎ xìn fā le.	我已经把信发了。	wo yijing ba xin fa-le	1SG already BA letter send-PERF	I have already sent the letter.
Mandarin Chinese	187	Constructed by native speaker linguist	Wǒ zuótiān fā le tā yīfēng xìn.	我昨天发了她一封信。	wo zuotian fa-le ta yi-feng xin	1SG yesterday send-PERF 3SG one-CL letter	I sent her a letter yesterday.
Mandarin Chinese	188	Constructed by native speaker linguist	Xìn zuótiān bèi wǒ fā gěi tā le.	信昨天被我发给他了。	xin zuotian bei wo fa-gei ta le	letter yesterday BEI 1SG send-to him PERF	The letter was sent to him by me yesterday.
Mandarin Chinese	189	Constructed by native speaker linguist	Wǒ zuótiān fā le yīfēng xìn gěi tā.	我昨天发了一封信给他。	wo zuotian fa-le yi-feng xin gei ta	1SG yesterday send-PERF one-CL letter to him	I sent a letter to him yesterday.
Mandarin Chinese	190	Constructed by native speaker linguist	Húzi yǐjīng bèi wǒ guā le.	胡子已经被我刮了。	huzi yijing bei wo gua-le	beard already BEI 1SG shave-PERF	The beard has been shaved by me.
Mandarin Chinese	191	Constructed by native speaker linguist	Zhèbǎ tìxūdāo guā qǐlái shùnshǒu.	这把剃须刀刮起来顺手。	zhe-ba tixudao gua-qilai shunshou	this-CL shaver shave-APPL smooth	This shaver shaves smoothly.
Mandarin Chinese	192	Constructed by native speaker linguist	Tāde húzi guā qǐlái hěn máfan.	他的胡子刮起来很麻烦。	tade huzi gua-qilai hen mafan	his beard shave-APPL very troublesome	It is very difficult to shave his beard. / His beard is very difficult to shave.
Mandarin Chinese	193	Constructed by native speaker linguist	Tā cháo wǒ dà shēng jiàohǎn.	他朝我大声叫喊。	ta chao wo da sheng jiaohan	3SG to 1SG loud voice shout	He shouted at me in loud voice.
Mandarin Chinese	194	Constructed by native speaker linguist	Tāmen bǎ jūnjiàn mìngmíng wéi Wǔhànhào.	他们把军舰命名为武汉号。	tamen ba junjian mingming wei Wuhanhao	3PL BA warship name be Wuhanhao	They named the warship Wuhanhao.
Mandarin Chinese	195	Constructed by native speaker linguist	Tāmen hái bǎ huìhuà zuòpǐn zhǎnshì le yīfān.	他们还把绘画作品展示了一番。	tamen hai ba huihua zuopin zhanshi-le yi-fan	3PL additionally BA painting works show-PERF one-CL	Additionally, they put up a show of the paintings."
Mandarin Chinese	196	Constructed by native speaker linguist	Huìhuà zuòpǐn hái bèi tāmen zhǎnshì le yīfān.	绘画作品还被他们展示了一番。	huihua zuopin hai bei tamen zhanshi-le yi-fan	paintings works additionally BEI 3PL show-PERF one-CL	The paintings were shown by them.
Mandarin Chinese	197	Constructed by native speaker linguist	Yǐzi yǐjīng bèi nǐ zuò le.	椅子已经被你坐了。	yizi yijing bei ni zuo-le	chair already BEI 2SG sit-PERF	You have already sat in the chair.
Mandarin Chinese	198	Constructed by native speaker linguist	Zhè yǐzi zuò zhe shūfú.	这椅子坐着舒服。	zhe yizi zuo-zhe shufu	this chair sit-APPL comfortable	Sitting in this chair is comfortable.
Mandarin Chinese	199	Constructed by native speaker linguist	Yītiáo dèngzi zuò shígè rén.	一条凳子坐十个人。	yi-tiao dengzi zuo shi-ge ren	one-CL stool sit ten-CL person	One stool is enough for ten persons to sit on.
Mandarin Chinese	200	Constructed by native speaker linguist	Shígè rén zuò yītiáo dèngzi.	十个人坐一条凳子。	shi-ge ren zuo yi-tiao dengzi	ten-CL person sit one-CL stool	Ten persons are to sit on the same stool.
Mandarin Chinese	201	Constructed by native speaker linguist	Xiǎotōu bǎ wénjiàn tōu (zǒu) le.	小偷把文件偷（走）了。	xiaotou ba wenjian tou-zou-le	thief BA document steal-away-PERF	A thief has stolen the document.
Mandarin Chinese	202	Constructed by native speaker linguist	Wénjiàn bèi xiǎotōu tōu(zǒu) le.	文件被小偷偷(走)了。	wenjian bei xiaotou tou(zou)-le	document BEI thief steal.(away)-PERF	The document was stolen by a thief.
Mandarin Chinese	203	Constructed by native speaker linguist	Xiǎotōu tōule tājiā liǎngtóu níu, yīpǐ mǎ.	小偷偷了他家两头牛,一匹马。	xiaotou tou-le ta-jia liang-tou niu yi-pi ma	thief steal-PERF 3SG-family two-CL cow one-CL horse	A thief stole two cows and one horse from his family.
Mandarin Chinese	204	Constructed by native speaker linguist	Xiǎohù rénjiā tōu qǐlái róngyìxiē.	小户人家偷起来容易些。	xiaohu renjia tou-qilai rongyixie	average household steal-APPL easier	It is easier to steal from average households.
Mandarin Chinese	205	Constructed by native speaker linguist	Māma bǎ qián názǒu le.	妈妈把钱拿走了。	mama ba qian nazou-le	Mom BA money take.away-PERF	Mom took away the money.
Mandarin Chinese	206	Constructed by native speaker linguist	Qián bèi māma názǒu le.	钱被妈妈拿走了。	qian bei mama nazou-le	money BEI Mom take.away-PERF	The money was taken away by Mom.
Mandarin Chinese	207	Constructed by native speaker linguist	Wǒ názǒu le māma yīwànkuài qián.	我拿走了妈妈一万块钱。	wo nazou-le mama yiwan-kuai qian	1SG take.away-PERF Mom ten.thousand-yuan money	I took away ten thousand yuan from Mom.
Mandarin Chinese	208	Constructed by native speaker linguist	Māma bǎ lājī rēng le.	妈妈把垃圾扔了。	mama ba laji reng-le	Mom BA trash throw-PERF	Mom threw away the trash.
Mandarin Chinese	209	Constructed by native speaker linguist	Lājī bèi māma rēng le.	垃圾被妈妈扔了。	Laji bei mama reng-le	trash BEI Mom throw-PERF	The trash was thrown away by Mom.
Mandarin Chinese	210	Constructed by native speaker linguist	Zhèzhǒng qiānqíu tài zhòng, rēng qǐlái hěn máfán.	这种铅球太重，扔起来很麻烦。	zhe-zhong qian qiu hen zhong reng-qilai hen mafan	this-CL lead ball very heavy throw-APPL very troublesome	This kind of lead ball is too heavy, so it is very troublesome to throw it. / This kind of lead ball is so heavy that it is very difficult to throw it."
Mandarin Chinese	211	Constructed by native speaker linguist	Wǒ bǎ gǒu shuān qǐlái le.	我把狗拴起来了。	wo ba gou shuan-qilai le	1SG BA dog tie-APPL CRS	I have tied (up) the dog.
Mandarin Chinese	212	Constructed by native speaker linguist	Gǒu bèi wǒ shuān qǐlái le.	狗被我拴起来了。	gou bei wo shuang-qilai-le	dog BEI 1SG tie-APPL-PERF	The dog bas been tied up by me.
Mandarin Chinese	213	Constructed by native speaker linguist	Shùshàng shuān gǒu.	树上拴狗。	shushang shuan gou	tree.LOC tie dog	The tree is for one to tie up a dog.
Mandarin Chinese	214	Constructed by native speaker linguist	Gǒu shuān shùshàng.	狗拴树上。	gou shuan shushang	dog tie tree.LOC	The dog is to be tied up to the tree.
Mandarin Chinese	215	Constructed by native speaker linguist	Gǒu hěn xiōng,shuān qǐlái hěn kùnnán.	狗很凶，拴起来很困难。	gou hen xiong shuan-qilai hen kunnan	dog very fierce tie-APPL very difficult	It is very difficult to tie up the dog because it is very fierce.
Mandarin Chinese	216	Constructed by native speaker linguist	Zhèzhǒng mābù cā qǐlái gānjìng.	这种抹布擦起来干净。	zhe-zhong mabu ca-qilai ganjing	this-kind cloth.brush wipe-APPL clean	This kind of cloth-brush wipes clean.
Mandarin Chinese	217	Constructed by native speaker linguist	Zhuōzi bèi wǒ cā le.	桌子被我擦了。	zhuozi bei wo ca-le	table BEI 1SG wipe-PERF	The table was wiped up by me.
Mandarin Chinese	218	Constructed by native speaker linguist	Zhèzhòng shuǐguǒ chī qǐlái hěn róngyì.	这种水果吃起来很容易。	zhe-zhong shuiguo chi-qilai hen rongyi	this-kind fruit eat-APPL very easy	This kind of fruit is easy to eat. / This kind of fruit eats very fast.
Mandarin Chinese	219	Constructed by native speaker linguist	Shígè rén chī yīguō fàn.	十个人吃一锅饭。	shi-ge ren chi yi-guo fan	ten-CL person eat one-CL rice	Ten persons are to eat the rice from one pot.
Mandarin Chinese	220	Constructed by native speaker linguist	Tā bèi éguó xióng rèliè yōngbào.	他被俄国熊热烈拥抱。	ta bei eguo xiong relie yongbao	3SG BEI Russian bear warmly hug	He was given a warm hug by the Russian bear. / He was hugged warmly by the Russian bear.
Mandarin Chinese	221	Constructed by native speaker linguist	*Qí mótuōchē sǐ qǐlái kuài dé hěn.	*骑摩托车死起来快得很。	*qi motuoche si-qilai kuai de hen	ride motor.cycle die-APPL quick APPL very	Riding motor cycle will kill the cyclist quickly.
Mandarin Chinese	222	Constructed by native speaker linguist	Bèi tā kàn le yīyǎn, wǒ juéde hěn shūfú.	被她看了一眼，我觉得很舒服。	bei ta kan-le yi-yan wo juede hen shufu	BEI she look.at-PERF one-look 1SG feel very comfortable	I feel very comfortable because she gave me a look.
Mandarin Chinese	223	Constructed by native speaker linguist	Wǒ bǎ yīfu xǐ le.	我把衣服洗了。	wo ba yifu xi-le	1SG BA clothes wash-PERF	I wahsed the clothes.
Mandarin Chinese	224	Constructed by native speaker linguist	Yīfu bèi wǒ xǐ le.	衣服被我洗了。	yifu bei wo xi-le	clothes BEI 1SG wash-PERF	The clothes was washed by me.
Mandarin Chinese	225	Constructed by native speaker linguist	Zhèzhǒng yīfu liàozi xǐ qǐlái róngyì.	这种衣服料子洗起来容易。	zhe-zhong yifu liaozi xi-qilai rongyi	this-CL clothes material wash-APPL easy	This kind of cloth material washes easily. / It is easy to wash this kind of cloth material.
Mandarin Chinese	226	Constructed by native speaker linguist	Yīpén shuǐ xǐ shígè rén.	一盆水洗十个人。	yi-pen shui xi shi-ge ren	one-CL water wash ten-CL person	A basin of water is for ten persons to wash themselves.
Mandarin Chinese	227	Constructed by native speaker linguist	Shígè rén xǐ yīpén shuǐ.	十个人洗一盆水。	shi-ge ren xi yi-pen shui	ten-CL person wash one-CL water	Ten persons share one basin of water for washing themselves.
Mandarin Chinese	228	Constructed by native speaker linguist	Chuán chén le.	船沉了。	chuan chen-le	boat sink-PERF	The boat sank.
Mandarin Chinese	229	Constructed by native speaker linguist	Hǎidào bǎ chuán chén le.	海盗把船沉了。	haidao ba chuan chen-le	pirate BA boat sink-PERF	The pirates sank the boat.
Mandarin Chinese	230	Constructed by native speaker linguist	Chuán bèi hǎidào chén le.	船被海盗沉了。	chuan bei haidao chen-le	boat BEI pirate sink-PERF	The boat was sunk by the pirates.
Mandarin Chinese	231	Constructed by native speaker linguist	Hǎidào chén le wǒmen shítiáo chuán.	海盗沉了我们十条船。	haidao chen-le women shi-tiao chuan	pirate sink-PERF 1PL ten-CL boat	The pirates sank ten of our boats.
Mandarin Chinese	232	Constructed by native speaker linguist	Zhè chuán tài dà, chén qǐlái bù róngyì.	这船太大，沉起来不容易。	zhe chuan tai da chen-qilai bu rongyi	this boat too big sink-APPL not easy	It is difficult to sink the boat because it is too big. / This boat is too big and is difficult to sink.
Mandarin Chinese	233	Constructed by native speaker linguist	Zhèzhǒng zhǐ sī qǐlái róngyì.	这种纸撕起来容易。	zhe-zhong zhi si-qilai rongyi	this-kind paper tear-APPL easy	This kind of paper is easy to tear.
Mandarin Chinese	234	Constructed by native speaker linguist	Piào bèi tā sī le.	票被他撕了。	piao bei ta si-le	ticket BEI he tear-PERF	The ticket was torn by him.
Mandarin Chinese	235	Constructed by native speaker linguist	Wǒ bǎ zhèjiàn shì gàosù le tā.	我把这件事告诉了他。	wo ba zhe-jian shi gaosu-le ta	1SG BA this-CL matter tell-PERF 3SG	I told him about this matter.
Mandarin Chinese	236	Constructed by native speaker linguist	Zhèjiàn shì bèi lǎoshī gàosù le bàba.	这件事被老师告诉了爸爸。	zhe-jian shi bei laoshi gaosu-le baba	this-CL matter BEI teacher tell-PERF Dad	This matter was told to Dad by my teacher. / My teacher told Dad about this matter.
Mandarin Chinese	237	Constructed by native speaker linguist	Zhè háizi jiāo qǐlái qīngsōng.	这孩子教起来轻松。	zhe haizi jiao-qilai qingsong	this kid teach-APPL easy	The kid is easy to teach.
Mandarin Chinese	238	Constructed by native speaker linguist	Háizi bèi nǐ jiāohuài le.	孩子被你教坏了。	haizi bei ni jiao-huai-le	kid BEI 2SG teach-bad-PERF	You have taught the kid in such a way that he has turned bad. / You have led the kid astray by improper teaching.
Mandarin Chinese	239	Constructed by native speaker linguist	Tā zhǎle yǎnjing.	他眨了眼睛。	ta zha-le yanjing	3SG blink-PERF eye	He blinked his eyes.
Mandarin Chinese	240	Constructed by native speaker linguist	Tā de yǎnjing zhǎle yīxià.	他的眼睛眨了一下。	tade yanjing zha-le yixia	his eye blink-PERF once	His eyes blinked once.
Mandarin Chinese	241	Constructed by native speaker linguist	Wǒ bǎ píngmù mō le yīxià.	我把屏幕摸了一下。	wo ba pingmu mo-le yixia	1SG BA screen touch-PERF once	I touched the screen once.
Mandarin Chinese	242	Constructed by native speaker linguist	Píngmù bèi wǒ mō le yīxià.	屏幕被我摸了一下。	pingmu bei wo mo-le yixia	screen BEI 1SG touch-PERF once	The screen was touched once by me.
Mandarin Chinese	243	Constructed by native speaker linguist	Zhèzhǒng cáiliào mō qǐlái hěn shūfú.	这种材料摸起来很舒服。	zhe-zhong cailiao mo-qilai hen shufu	this-CL material touch-APPL very comfortable	It is very comfortable to touch this kind of material. / This kind of material feels very good.
Mandarin Chinese	244	Constructed by native speaker linguist	Gùnzi dǎduàn le.	棍子打断了。	gunzi daduan-le	stick break-PERF	The stick broke.
Mandarin Chinese	245	Constructed by native speaker linguist	Gùnzi bèi wǒ dǎduàn le.	棍子被我打断了。	gunzi bei wo daduan-le	stick BEI 1SG break-PERF	The stick was boken by me.
Mandarin Chinese	246	Constructed by native speaker linguist	Wǒ bǎ zhàoxiàngjī dàilái le.	我把照相机带来了。	wo ba zhaoxiangji dailai-le	1SG BA camera bring-PERF	I have brought the camera.
Mandarin Chinese	247	Constructed by native speaker linguist	Zhàoxiàngjī bèi wǒ dàilái le.	照相机被我带来了。	zhaoxiangji bei wo dailai-le	camera BEI 1SG bring-PERF	The camera has been brought by me.
Mandarin Chinese	248	Constructed by native speaker linguist	Fángzi jiànhǎo le.	房子建好了。	fangzi jian-hao-le	house build-finished-PERF	The house has been built.
Mandarin Chinese	249	Constructed by native speaker linguist	Fángzi bèi wǒmen jiànhǎo le.	房子被我建好了。	fangzi bei women jian-hao-le	house BEI 1PL build-finished-PERF	The house has been built by us.
Mandarin Chinese	250	Constructed by native speaker linguist	Zhèyàng de fángzi jiàn qǐlái bù róngyì.	这样的房子建起来不容易。	zhe-yang de fangzi jian-qilai bu rongyi	this-type DE house build-APPL not easy	It's not easy to build this kind of house.
Mandarin Chinese	251	Constructed by native speaker linguist	Nèi háizi xiàzhao le.	那孩子吓着了。	nei haizi xiazhao-le	that kid frighten-CRS	That kid is frightened.
Mandarin Chinese	252	Constructed by native speaker linguist	Dàgèzi háizi cáng qǐlái bùróngyì.	大个子孩子藏起来不容易。	da-gezi haizi cang-qilai bu rongyi	big-size kid hide-APPL not easy	It's not easy to hide big-sized kids.
Mandarin Chinese	253	Constructed by native speaker linguist	Dírén shāsǐ le.	敌人杀死了。	diren shasi-le	enemy kill-PERF	The enemy is killed.
Mandarin Chinese	254	Constructed by linguist	Wǒ zhuāngmǎn le shuǐgāng.	我装满了水缸。	wo zhuangman-le shuigang	1SG fill-PERF water.jar	I filled the water jar.
Mandarin Chinese	255	Constructed by native speaker linguist	Píngguǒ pí xiāo le.	苹果皮削了。	pingguo pi xiao-le	apple skin peel-PERF	The apple has been peeled.
Mandarin Chinese	256	Constructed by linguist	Nǐ xiàzhao nèi háizi le.	你吓着那孩子了。	ni xiazhao nei haizi le	2SG frighten that kid CRS	You frightened that kid.
